id	category	tier	name	desc	target	count	exp
# 成就ID	类别(tower/gold/star)	档位(1-5)	成就名称	描述	目标值	需要数量(star类用)	经验值
1001	tower	1	初出茅庐	远征塔通关第3层	3	0	10
1002	tower	2	小有名气	远征塔通关第8层	8	0	20
1003	tower	3	身经百战	远征塔通关第15层	15	0	40
1004	tower	4	所向披靡	远征塔通关第22层	22	0	70
1005	tower	5	登峰造极	远征塔通关第30层	30	0	100
2001	gold	1	初见黄金	累计获得100金币	100	0	10
2002	gold	2	小有积蓄	累计获得500金币	500	0	20
2003	gold	3	腰缠万贯	累计获得2000金币	2000	0	40
2004	gold	4	富甲一方	累计获得8000金币	8000	0	70
2005	gold	5	金山银山	累计获得20000金币	20000	0	100
3001	star	1	崭露头角	拥有一名2星角色	2	1	10
3002	star	2	锋芒初现	拥有一名3星角色	3	1	20
3003	star	3	实力超群	拥有一名4星角色	4	1	40
3004	star	4	万中无一	拥有一名5星角色	5	1	70
3005	star	5	超越极限	全部角色达到5星	5	5	100
