id	speaker	content
# 聊天 ID	发言人（玩家名）	聊天内容（按 id 顺序播放）
# 50 名玩家：风之子Lin、老王_233、大佬别打我、萌新求带飞、暴打小学生、Aurora_91、卷不动了、摸鱼专业户、肝帝养成中、战神2024
# 一刀999、咸鱼翻不了身、皮一下很开心、NekoMaster、苦逼上班族、落落_dada、月光骑士、996社畜、我是你哥、不咕咕的咕咕
# xX冷月Xx、小白菜哈、阿giao哥、哇靠就这、老司机带带我、Zzz瞌睡虫、喵了个咪、拒绝氪金、神秘海螺、大哥饶命
# ShadowWolf、拒绝Emo、一只柠檬精、小破车冲鸭、玩游戏不充钱、落幕の樱、Tom_的猫、反正都行、小笨蛋鸭、王者归来1024
# 在线发呆、不会玩的萌新、AFK选手、卡布奇诺_NoSugar、抓住了一只、666带带我、别打我QAQ、圣母玛丽鸭、Jojo奇妙旅程、退游警告
1	风之子Lin	早 兄弟们都起这么早吗
2	996社畜	我已经在地铁上了 你说呢
3	老王_233	咖啡续命中
4	肝帝养成中	昨晚通宵刚下线 现在又上来了
5	咸鱼翻不了身	@肝帝养成中 兄弟悠着点 头发还要不要了
6	摸鱼专业户	上班无聊 来挂个机
7	卷不动了	+1 摸鱼一时爽 摸鱼火葬场
8	苦逼上班族	昨天加班到十点 现在还困
9	风之子Lin	有没有人刷哥布林营地的 一起
10	老司机带带我	+1 但是我是萌新
11	风之子Lin	带 没问题 区5
12	老司机带带我	呜区2 卑微
13	战神2024	2区有需要带 我刚下班
14	老司机带带我	大佬好人卡收下
15	NekoMaster	2区+1 我也求带
16	战神2024	都过来 满3人
17	在线发呆	刚清完日常 来摸会儿鱼
18	月光骑士	早安各位
19	老王_233	@月光骑士 老哥又来潜水
20	月光骑士	我都不潜水 你们说话太快插不进话
21	阿giao哥	一给我哩giaogiao
22	哇靠就这	又是这哥们
23	暴打小学生	这位是我们的吉祥物
24	阿giao哥	谢谢哥
25	喵了个咪	喵喵喵
26	喵了个咪	喵喵
27	萌新求带飞	可爱
28	不会玩的萌新	请问主城等级怎么升啊
29	老司机带带我	伐木场矿石场拉满 主基地解锁就升
30	不会玩的萌新	谢谢大哥
31	996社畜	老板又来催进度 不行了我要疯了
32	苦逼上班族	@996社畜 兄弟挺住 周五就好了
33	卷不动了	我感觉每天都是周一
