keyword	speaker	content
# 关键字	发言人	回复内容
# 当玩家输入包含关键字的消息时，触发对应的多条回复（按顺序逐条播放）
# 同一个关键字的多条回复会按配置顺序依次显示
变强	战神2024	想变强？先把主基地升满级 这是最优先的
变强	老王_233	然后把伐木场和矿场升上去 资源是一切的基础
变强	肝帝养成中	每天记得收资源 攒够了升级建筑
变强	风之子Lin	角色等级也很重要 多刷远征副本
变强	NekoMaster	装备别忘了强化 战力飞升
升级	摸鱼专业户	升级建筑需要木材和矿石 先攒资源
升级	卷不动了	注意！其他建筑等级不能超过主基地
升级	战神2024	优先升产出建筑 资源滚雪球
升级	老司机带带我	升满一个再升下一个 别平均分配
资源	咸鱼翻不了身	木材靠伐木场 矿石靠矿场 金币靠酒馆
资源	摸鱼专业户	建筑等级越高 每次产出越多
资源	996社畜	产出间隔是固定的 等级高了单次产量大
资源	肝帝养成中	前期别乱花 攒够一波再升级
远征	风之子Lin	远征可以获得经验和奖励 每天必刷
远征	大佬别打我	带够奶妈 不然很容易翻车
远征	战神2024	阵容搭配比单个角色强更重要
远征	老王_233	先打低难度的 熟悉怪物技能再往上爬
新手	萌新求带飞	新手先做主线任务 跟着引导走就行
新手	老司机带带我	别急着氪金 前期白嫖也能玩
新手	皮一下很开心	加个公会 有大佬带你飞
新手	Aurora_91	每天上线把日常做完 资源慢慢就攒起来了
角色	NekoMaster	角色通过远征获取碎片解锁
角色	落落_dada	五星角色不一定最强 看搭配
角色	月光骑士	先把主力队伍练满 别贪多
角色	肝帝养成中	技能升级材料后期很缺 别乱用
建筑	老王_233	六栋建筑各有用处 都得升
建筑	战神2024	主基地是核心 决定其他建筑上限
建筑	摸鱼专业户	伐木场和矿场是经济命脉
建筑	卷不动了	酒馆升级后产金币 后期很有用
氪金	拒绝氪金	白嫖也能玩 就是慢点
氪金	玩游戏不充钱	月卡性价比最高 微氪推荐
氪金	咸鱼翻不了身	量力而行 游戏而已
氪金	666带带我	大佬随意 我先溜了
乐元素	风之子Lin	乐元素的吗？开心消消乐我玩了好几年了
乐元素	老王_233	消消乐国民级手游 我妈都在玩哈哈哈
乐元素	萌新求带飞	难怪这游戏品质不错 原来是乐元素出品
乐元素	Aurora_91	乐元素做休闲游戏很有一套 审美在线
乐元素	皮一下很开心	消消乐那个小村庄好治愈 每天都想登录
乐元素	NekoMaster	乐元素的美术风格一直很稳 辨识度高
乐元素	摸鱼专业户	上班摸鱼就靠消消乐撑过来的 感恩
乐元素	落落_dada	他们家游戏手感都挺好 细节打磨到位
乐元素	月光骑士	乐元素出品必属精品 这游戏也不例外
乐元素	战神2024	支持国产好公司 继续做好游戏
拉新	老司机带带我	拉朋友一起玩啊 组队刷远征效率翻倍
拉新	风之子Lin	把邀请链接发群里 有人注册你还能拿奖励
拉新	摸鱼专业户	我已经拉了三个同事入坑了哈哈
拉新	皮一下很开心	新人七天登录奖励很香 告诉朋友别错过
拉新	战神2024	人多公会战才打得过 快叫兄弟来
