id	name	slot	icon	atk_min	atk_max	def_min	def_max	hp_min	hp_max	speed_min	speed_max	crit_min	crit_max	dodge_min	dodge_max
# 装备ID	装备名	部位	图标路径	攻击最低	攻击最高	防御最低	防御最高	生命最低	生命最高	速度最低	速度最高	暴击最低(万分比)	暴击最高(万分比)	闪避最低(万分比)	闪避最高(万分比)
# 属性为10级基础值；实际属性 = 随机(min~max) × (1 + (装备等级-10) × 0.10)；装备等级 = 远征塔等级 × 10
# ─── 暗影套装 (assassin) ───
50001	暗影之刃	weapon	res://asserts/image/ui/equipment/assassin/weapon.png	25	35	0	0	0	0	3	6	300	500	0	0
51001	暗影之盔	helmet	res://asserts/image/ui/equipment/assassin/helmet.png	0	0	4	7	20	35	0	0	150	250	50	100
52001	暗影之甲	chest	res://asserts/image/ui/equipment/assassin/chest.png	0	0	6	10	35	55	0	0	100	200	50	100
55001	暗影之手	gloves	res://asserts/image/ui/equipment/assassin/gloves.png	5	8	0	0	0	0	2	4	250	400	0	0
53001	暗影之裤	pants	res://asserts/image/ui/equipment/assassin/pants.png	0	0	4	7	25	40	0	0	50	100	150	250
54001	暗影之靴	boots	res://asserts/image/ui/equipment/assassin/boots.png	0	0	2	4	0	0	8	12	0	0	200	350
56001	暗影之链	necklace	res://asserts/image/ui/equipment/assassin/necklace.png	8	12	0	0	0	0	2	4	200	350	0	0
57001	暗影之戒	ring	res://asserts/image/ui/equipment/assassin/ring.png	5	8	0	0	0	0	0	0	250	400	150	250
# ─── 黑暗套装 (dark) ───
50002	黑暗之斧	weapon	res://asserts/image/ui/equipment/dark/weapon.png	22	32	3	5	0	0	0	0	150	300	0	0
51002	黑暗之盔	helmet	res://asserts/image/ui/equipment/dark/helmet.png	0	0	8	12	35	55	0	0	0	0	50	100
52002	黑暗之甲	chest	res://asserts/image/ui/equipment/dark/chest.png	0	0	12	18	50	80	0	0	0	0	0	0
55002	黑暗之手	gloves	res://asserts/image/ui/equipment/dark/gloves.png	6	10	3	5	0	0	0	0	150	250	0	0
53002	黑暗之裤	pants	res://asserts/image/ui/equipment/dark/pants.png	0	0	8	12	35	55	0	0	0	0	50	100
54002	黑暗之靴	boots	res://asserts/image/ui/equipment/dark/boots.png	0	0	3	5	0	0	5	8	0	0	100	200
56002	黑暗之链	necklace	res://asserts/image/ui/equipment/dark/necklace.png	5	8	0	0	25	40	0	0	100	200	0	0
57002	黑暗之戒	ring	res://asserts/image/ui/equipment/dark/ring.png	4	7	0	0	0	0	0	0	200	350	100	200
# ─── 战魂套装 (warrior) ───
50003	战魂之斧	weapon	res://asserts/image/ui/equipment/warrior/weapon.png	30	45	0	0	0	0	0	0	200	400	0	0
51003	战魂之盔	helmet	res://asserts/image/ui/equipment/warrior/helmet.png	3	5	5	8	25	40	0	0	100	200	0	0
52003	战魂之甲	chest	res://asserts/image/ui/equipment/warrior/chest.png	0	0	8	12	40	65	0	0	0	0	0	0
55003	战魂之手	gloves	res://asserts/image/ui/equipment/warrior/gloves.png	8	12	0	0	0	0	0	0	200	350	0	0
53003	战魂之裤	pants	res://asserts/image/ui/equipment/warrior/pants.png	0	0	6	10	30	50	0	0	0	0	0	0
54003	战魂之靴	boots	res://asserts/image/ui/equipment/warrior/boots.png	0	0	0	0	0	0	6	10	100	200	0	0
56003	战魂之链	necklace	res://asserts/image/ui/equipment/warrior/necklace.png	6	10	0	0	0	0	2	4	150	300	0	0
57003	战魂之戒	ring	res://asserts/image/ui/equipment/warrior/ring.png	6	10	0	0	0	0	0	0	200	350	0	0
# ─── 圣光套装 (paladin) ───
50004	圣光之刃	weapon	res://asserts/image/ui/equipment/paladin/weapon.png	15	22	5	8	0	0	0	0	0	0	0	0
51004	圣光之盔	helmet	res://asserts/image/ui/equipment/paladin/helmet.png	0	0	10	15	40	65	0	0	0	0	0	0
52004	圣光之甲	chest	res://asserts/image/ui/equipment/paladin/chest.png	0	0	15	22	60	100	0	0	0	0	0	0
55004	圣光之手	gloves	res://asserts/image/ui/equipment/paladin/gloves.png	0	0	6	10	25	40	0	0	0	0	50	100
