formation_id	pos	hp	atk	def	spd	crit	dodge
# 阵型位置加成（百分比），如 10 = 该属性 +10%
# 每个位置最多2条属性加成
# 标准阵 — 均衡
1	1	0	5	5	0	0	0
1	2	0	0	0	5	0	5
1	3	0	0	10	0	0	0
1	4	10	0	0	0	0	0
1	5	5	5	0	0	0	0
# 鹤翼阵 — 两翼包夹
2	1	5	0	10	0	0	0
2	2	0	10	0	5	0	0
2	3	0	10	0	5	0	0
2	4	0	0	0	0	12	0
2	5	0	0	0	0	12	0
# 锋矢阵 — 锋线突击
3	1	0	15	0	0	10	0
3	2	0	8	0	5	0	0
3	3	0	8	0	5	0	0
3	4	5	0	10	0	0	0
3	5	5	0	10	0	0	0
# 方圆阵 — 防御持久
4	1	0	0	12	0	0	0
4	2	0	0	8	0	0	5
4	3	0	0	12	0	0	0
4	4	0	0	8	0	0	5
4	5	15	0	10	0	0	0
# 雁行阵 — 速度递增
5	1	0	0	0	12	0	0
5	2	0	8	0	8	0	0
5	3	0	10	0	0	5	0
5	4	0	0	5	0	0	8
5	5	5	0	8	0	0	0
# 偃月阵 — 攻守兼备
6	1	0	12	0	0	8	0
6	2	8	0	10	0	0	0
6	3	8	0	10	0	0	0
6	4	0	5	0	0	0	8
6	5	0	5	0	0	0	8
# 鱼鳞阵 — 正面冲击
7	1	0	15	0	5	0	0
7	2	5	8	0	0	0	0
7	3	5	8	0	0	0	0
7	4	0	0	10	0	0	5
7	5	10	0	8	0	0	0
