level_id	name	monster_ids	monster_level	formation_id	exp	monster_skills	desc
# 关卡 ID	关卡名称	怪物 ID 组（逗号分隔，支持重复）	怪物等级（所有怪物共用）	出战阵型 ID	胜利获得经验	怪物技能（技能ID:等级,多个用逗号分隔；空=无技能）	关卡描述（故事文本）
# monster_ids 顺序对应阵型 pos1~pos5，不足 5 个留空位用 0 占位					每个角色都获得此经验	所有怪物共享此技能组
# ─── 第一章：哥布林前哨（新手期） ───
10101	哥布林斥候	20002,0,0,0,0	1	3	10		边境传来消息，一只落单的哥布林正在村庄外徘徊。
10102	哥布林前哨	20002,0,0,20001,0	2	3	15		树林深处发现了哥布林的临时营地，他们似乎在监视我们。
10103	哥布林巡逻队	20002,20007,0,20001,0	3	3	20		哥布林开始组织巡逻队，他们的行动越来越有组织了。
10104	哥布林营地	20002,20007,0,20001,20003	4	1	25	30002:1	一座设防的营地出现在北方山谷，萨满的鼓声日夜不息。
10105	萨满祭仪	20002,20007,20003,20001,20005	5	3	30	30002:1	萨满正在主持某种仪式，空气中弥漫着诡异的魔力波动。
10106	信徒集会	20002,20003,20005,20005,20007	6	1	35	30002:1,30011:1	越来越多的哥布林聚集在祭坛前，他们在召唤什么？
10107	巫师塔守	20002,20007,20004,20004,20003	7	3	40	30002:1,30011:1	古老的巫师塔被哥布林占据，黑暗魔法从塔顶涌出。
10108	黑暗法阵	20007,20002,20005,20004,20003	8	4	45	30001:1,30002:2	地面上刻满了邪恶的符文，法阵中心闪烁着不祥的光芒。
10109	精英战团	20002,20006,20007,20004,20003	9	3	50	30001:1,30002:2	哥布林王的精锐部队出现了，他们装备精良、训练有素。
10110	哥布林王座	20006,20002,20007,20004,20003	10	3	55	30001:2,30003:1,30011:2	哥布林王坐在骨骸堆砌的王座上，这片领地的威胁必须终结。
# ─── 第二章：深渊营地（成长期） ───
10111	深渊哨站	20001,20006,0,20003,20005	11	5	65	30001:2,30006:1	击败哥布林王后，你发现他只是更深处势力的傀儡。
10112	暗影伏击	20001,20004,20001,20004,0	12	2	75	30001:2,30006:1	密林中箭矢突然飞来——这是一场精心策划的伏击。
10113	铁壁阵线	20007,20007,20005,20006,20002	13	4	85	30004:2,30002:2,30012:1	前方横亘着一道盾墙，要突破必须集中力量。
10114	巫师议会	20004,20003,20004,20003,20005	14	1	95	30004:2,30002:2	四名巫师围坐在暗火旁，正在谋划对村庄的总攻。
10115	血腥祭坛	20006,20001,20004,20003,20006	15	3	110	30001:3,30007:2,30008:2	祭坛上的鲜血还未干涸，他们正在用生命献祭换取力量。
10116	暗夜精锐	20001,20006,20007,20004,20001	16	7	125	30004:3,30006:2,30011:2,30012:2	只在深夜行动的精锐部队，他们的眼睛在黑暗中发出红光。
10117	亡灵先锋	20004,20004,20005,20006,20003	17	6	140	30004:3,30006:2,30011:2	死去的哥布林竟然重新站了起来，这是禁忌的亡灵魔法。
10118	狂暴军团	20006,20006,20001,20001,20002	18	2	160	30001:3,30004:3,30007:3,30012:2	服用了狂暴药剂的战士们双眼通红，失去了痛觉。
10119	恐惧之门	20004,20007,20006,20003,20005	19	3	180	30001:3,30004:3,30007:3	一扇由骨骸与黑铁铸造的巨门，门后传来低沉的咆哮。
10120	深渊领主	20006,20007,20004,20003,20005	20	6	200	30001:4,30004:3,30003:3,30011:3,30012:3	深渊领主现出真身——他才是操纵这一切的幕后黑手。
# ─── 第三章：地狱要塞（挑战期） ───
10121	地狱前哨	20001,20006,20004,20007,20003	22	5	230	30004:3,30006:3,30008:3	穿过深渊之门，眼前是一片燃烧的荒原，要塞若隐若现。
10122	炼狱甬道	20006,20006,20004,20004,20005	24	7	260	30004:3,30006:3,30008:3	狭窄的通道两侧岩壁灼热，熔岩从裂缝中渗出。
10123	魔焰大厅	20004,20006,20001,20003,20006	26	3	300	30001:4,30004:4,30007:4,30013:2	巨大的厅堂中燃烧着永不熄灭的魔焰，照亮了无数敌影。
10124	暗影祭司	20003,20004,20004,20003,20005	28	1	350	30001:4,30004:4,30007:4	四名祭司同时吟唱，黑暗正在凝聚成实体。
10125	幽灵刺客	20001,20001,20004,20001,20006	30	5	400	30009:2,30004:4,30005:3,30013:3	看不见的敌人最为可怕——匕首从虚空中刺来。
10126	魔王近卫	20006,20007,20006,20007,20005	33	4	460	30001:4,30004:4,30006:4,30011:4,30012:3	最忠诚的近卫团，每一个都是百战余生的老兵。
10127	毁灭先驱	20004,20006,20004,20006,20003	36	6	530	30001:4,30004:4,30006:4,30011:4	他们曾是英雄，如今沦为毁灭的化身，功力犹在。
10128	末日军团	20006,20004,20001,20006,20004	39	3	610	30001:5,30004:5,30007:4,30008:4,30012:4,30013:3	最终的军团倾巢而出，大地在他们的脚步下震颤。
10129	深渊之主	20006,20007,20004,20004,20003	42	7	700	30001:5,30004:5,30007:4,30008:4	深渊之主的真正力量觉醒了，空间开始扭曲崩塌。
10130	终焉之战	20006,20006,20007,20004,20003	45	6	800	30001:5,30004:5,30003:5,30011:5,30006:4,30012:4,30013:4	这是最后的决战。黎明就在身后，绝不能让黑暗吞噬一切。
