role_id	init_atk	init_def	init_hp	init_speed	init_crit	init_dodge	lv_atk	lv_def	lv_hp	lv_speed	lv_crit	lv_dodge	star_atk	star_def	star_hp	star_speed	star_crit	star_dodge
# 关联 roles.txt	初始攻击	初始防御	初始生命	初始出手速度	初始暴击率(万分比,500=5%)	初始闪避率(万分比)	每级攻击+	每级防御+	每级生命+	每级速度+	每级暴击+(万分比)	每级闪避+(万分比)	每星攻击+	每星防御+	每星生命+	每星速度+	每星暴击+(万分比)	每星闪避+(万分比)
10001	100	60	333	80	500	300	10	6	33	4	100	100	50	30	167	20	500	300
10002	140	40	233	120	1000	600	12	4	23	6	150	120	70	20	117	30	800	500
10003	160	30	200	90	800	400	15	3	20	5	120	80	80	15	100	25	700	400
10004	180	25	183	70	1200	500	16	2	18	4	140	90	90	10	93	20	750	400
10005	90	90	467	50	300	150	8	9	47	2	60	50	40	50	233	10	250	200
20001	80	30	167	100	600	500	8	3	17	5	80	80	40	15	83	25	400	300
20002	95	55	267	70	400	250	10	5	27	3	60	60	50	25	133	15	300	200
20003	110	25	200	85	900	400	12	2	20	4	120	80	60	10	100	20	600	350
20004	125	20	183	75	1000	350	13	2	18	4	130	70	65	8	93	18	650	300
20005	90	45	300	60	300	200	9	4	30	3	40	40	45	22	150	12	250	180
20006	150	70	400	55	500	200	14	7	40	3	80	50	70	35	200	15	400	250
20007	110	100	367	60	350	150	11	10	37	3	60	40	55	50	183	12	300	200
