ID	所属角色	content
# 台词 ID	关联 roles.txt 的 role_id	台词内容（弹气泡时随机选一条）
1001	10001	为了荣耀，跟我冲！
1002	10001	盾在，我便在；剑出，便不归鞘。
1003	10001	远征不是漂泊，是为了带大家平安回家。
1004	10001	老板别担心，这点小风浪还吓不退骑士团。
1005	10001	下次升级再换一身亮一点的盔甲怎么样？
2001	10002	风向不错，今天是打猎的好日子。
2002	10002	别担心，我的箭从不射偏。
2003	10002	远征队里有我，侦查的事就放心吧。
2004	10002	老板，下次路过集市记得给我带箭囊。
2005	10002	树梢那边有动静，要我去看看吗？
3001	10003	祖灵低语，前方的土地有强者驻留。
3002	10003	图腾已醒，敌人将在风雨中颤抖。
3003	10003	老板，部落的野猪栏该扩建了。
3004	10003	雷与火，都听我号令。
3005	10003	今夜篝火旺盛，适合讲一段远古的传说。
4001	10004	死者从不沉睡，他们只是换了个姿势为我战斗。
4002	10004	灵魂很轻，比金币还轻，可惜不能用来付账。
4003	10004	老板，法阵用的硫磺该补货了。
4004	10004	别直视我的眼睛，上一个这么做的人还在我口袋里。
4005	10004	月黑风高，正是练习新咒语的好时辰。
5001	10005	让他们来吧，我的盾能当一整面城墙。
5002	10005	这把锤子陪了我四十年，比我的胡子还可靠。
5003	10005	老板，矿脉深处的巨锭该我去敲了吧？
5004	10005	石头，金属，烈火——矮人只认这三样。
5005	10005	一杯黑麦酒下肚，连龙都能拽下来揍一顿。
