role_id	name	idle_sheet	idle_frames	idle_scale	idle_anim_fps	alert_sheet	alert_frames	alert_anim_fps	attack_sheet	attack_frames	attack_anim_fps	cast_sheet	cast_frames	cast_anim_fps	hurt_sheet	hurt_frames	hurt_anim_fps	dead_sheet	dead_frames	dead_anim_fps	init_level	init_star	flip_h
# 角色 ID	显示名称	idle 序列图路径	idle 帧数	显示缩放	idle 播放帧率	alert 序列图路径	alert 帧数	alert 播放帧率	attack 序列图路径	attack 帧数	attack 播放帧率	cast 序列图路径	cast 帧数	cast 播放帧率	hurt 序列图路径	hurt 帧数	hurt 播放帧率	dead 序列图路径	dead 帧数	dead 播放帧率	初始等级	初始星级	是否水平翻转(0/1)
10001	圣盾骑士	res://asserts/image/role/role1_idle_sheet.png	12	0.27	6	res://asserts/image/role/role1_alert_sheet.png	12	12	res://asserts/image/role/role1_attack_sheet.png	12	12				res://asserts/image/role/role1_hurt_sheet.png	12	12	res://asserts/image/role/role1_dead_sheet.png	12	12	1	1	0
10002	远行游侠	res://asserts/image/role/role2_idle_sheet.png	12	0.27	6	res://asserts/image/role/role2_alert_sheet.png	12	12	res://asserts/image/role/role2_attack_sheet.png	12	12				res://asserts/image/role/role2_hurt_sheet.png	12	12	res://asserts/image/role/role2_dead_sheet.png	12	12	1	1	0
10003	兽族萨满	res://asserts/image/role/role3_idle_sheet.png	12	0.27	6	res://asserts/image/role/role3_alert_sheet.png	12	12	res://asserts/image/role/role3_attack_sheet.png	12	12				res://asserts/image/role/role3_hurt_sheet.png	12	12	res://asserts/image/role/role3_dead_sheet.png	12	12	1	1	0
10004	亡灵法师	res://asserts/image/role/role4_idle_sheet.png	12	0.27	6	res://asserts/image/role/role4_alert_sheet.png	18	12	res://asserts/image/role/role4_attack_sheet.png	12	12				res://asserts/image/role/role4_hurt_sheet.png	12	12	res://asserts/image/role/role4_dead_sheet.png	12	12	1	1	0
10005	矮人锤手	res://asserts/image/role/role5_idle_sheet.png	12	0.27	6	res://asserts/image/role/role5_alert_sheet.png	12	12	res://asserts/image/role/role5_attack_sheet.png	12	12				res://asserts/image/role/role5_hurt_sheet.png	12	12	res://asserts/image/role/role5_dead_sheet.png	12	12	1	1	0
20001	哥布林猎人			0.27	6	res://asserts/image/monster/role2001_alert_sheet.png	12	12	res://asserts/image/monster/role2001_attack_sheet.png	12	12				res://asserts/image/monster/role2001_hurt_sheet.png	12	12	res://asserts/image/monster/role2001_die_sheet.png	12	12	1	1	0
20002	哥布林战士			0.27	6	res://asserts/image/monster/role2002_alert_sheet.png	12	12	res://asserts/image/monster/role2002_attack_sheet.png	12	12				res://asserts/image/monster/role2002_hurt_sheet.png	12	12	res://asserts/image/monster/role2002_die_sheet.png	12	4	1	1	0
20003	哥布林萨满			0.27	6	res://asserts/image/monster/role2003_alert_sheet.png	12	12	res://asserts/image/monster/role2003_attack_sheet.png	12	12				res://asserts/image/monster/role2003_hurt_sheet.png	12	12	res://asserts/image/monster/role2003_die_sheet.png	12	4	1	1	0
20004	哥布林巫师			0.27	6	res://asserts/image/monster/role2004_alert_sheet.png	12	12	res://asserts/image/monster/role2004_attack_sheet.png	12	12				res://asserts/image/monster/role2004_hurt_sheet.png	12	12	res://asserts/image/monster/role2004_die_sheet.png	12	4	1	1	0
20005	哥布林信徒			0.27	6	res://asserts/image/monster/role2005_alert_sheet.png	12	12	res://asserts/image/monster/role2005_attack_sheet.png	12	12				res://asserts/image/monster/role2005_hurt_sheet.png	12	12	res://asserts/image/monster/role2005_die_sheet.png	12	4	1	1	0
20006	哥布林锤手			0.27	6	res://asserts/image/monster/role2006_alert_sheet.png	12	12	res://asserts/image/monster/role2006_attack_sheet.png	12	12				res://asserts/image/monster/role2006_hurt_sheet.png	12	12	res://asserts/image/monster/role2006_die_sheet.png	12	4	1	1	0
20007	哥布林盾牌手			0.27	6	res://asserts/image/monster/role2007_alert_sheet.png	12	12	res://asserts/image/monster/role2007_attack_sheet.png	12	12				res://asserts/image/monster/role2007_hurt_sheet.png	12	12	res://asserts/image/monster/role2007_die_sheet.png	12	4	1	1	0
