skill_id	level	name	desc	param1	param2	icon
# 技能 ID	技能等级	技能名	技能描述（{p1}/{p2} 占位符）	参数1	参数2	图标资源路径（res://...）
30001	1	连击	攻击时有{p1}%概率额外攻击一次，第二次造成{p2}%的攻击伤害	50	50	res://asserts/image/ui/skill/attack_combo.png
30001	2	连击	攻击时有{p1}%概率额外攻击一次，第二次造成{p2}%的攻击伤害	60	60	res://asserts/image/ui/skill/attack_combo.png
30001	3	连击	攻击时有{p1}%概率额外攻击一次，第二次造成{p2}%的攻击伤害	70	75	res://asserts/image/ui/skill/attack_combo.png
30001	4	连击	攻击时有{p1}%概率额外攻击一次，第二次造成{p2}%的攻击伤害	80	90	res://asserts/image/ui/skill/attack_combo.png
30001	5	连击	攻击时有{p1}%概率额外攻击一次，第二次造成{p2}%的攻击伤害	100	100	res://asserts/image/ui/skill/attack_combo.png
30002	1	反击	受到普攻时有{p1}%概率反击，造成{p2}%的攻击伤害	25	80	res://asserts/image/ui/skill/attack_counter.png
30002	2	反击	受到普攻时有{p1}%概率反击，造成{p2}%的攻击伤害	35	90	res://asserts/image/ui/skill/attack_counter.png
30002	3	反击	受到普攻时有{p1}%概率反击，造成{p2}%的攻击伤害	50	100	res://asserts/image/ui/skill/attack_counter.png
30002	4	反击	受到普攻时有{p1}%概率反击，造成{p2}%的攻击伤害	65	115	res://asserts/image/ui/skill/attack_counter.png
30002	5	反击	受到普攻时有{p1}%概率反击，造成{p2}%的攻击伤害	80	130	res://asserts/image/ui/skill/attack_counter.png
30003	1	守护	当队友被普通攻击时，有{p1}%的概率替队友分担{p2}%的伤害	30	50	res://asserts/image/ui/skill/protect_other.png
30003	2	守护	当队友被普通攻击时，有{p1}%的概率替队友分担{p2}%的伤害	45	60	res://asserts/image/ui/skill/protect_other.png
30003	3	守护	当队友被普通攻击时，有{p1}%的概率替队友分担{p2}%的伤害	60	70	res://asserts/image/ui/skill/protect_other.png
30003	4	守护	当队友被普通攻击时，有{p1}%的概率替队友分担{p2}%的伤害	75	80	res://asserts/image/ui/skill/protect_other.png
30003	5	守护	当队友被普通攻击时，有{p1}%的概率替队友分担{p2}%的伤害	90	90	res://asserts/image/ui/skill/protect_other.png
30004	1	暴击	提高自己普攻{p1}%的暴击率，暴击伤害为{p2}%	10	160	res://asserts/image/ui/skill/attack_crit.png
30004	2	暴击	提高自己普攻{p1}%的暴击率，暴击伤害为{p2}%	15	175	res://asserts/image/ui/skill/attack_crit.png
30004	3	暴击	提高自己普攻{p1}%的暴击率，暴击伤害为{p2}%	20	190	res://asserts/image/ui/skill/attack_crit.png
30004	4	暴击	提高自己普攻{p1}%的暴击率，暴击伤害为{p2}%	25	210	res://asserts/image/ui/skill/attack_crit.png
30004	5	暴击	提高自己普攻{p1}%的暴击率，暴击伤害为{p2}%	30	230	res://asserts/image/ui/skill/attack_crit.png
30005	1	追击	普攻击杀敌人后，随机追击一名敌人，造成{p1}%的伤害；继续击杀可重复触发	60	0	res://asserts/image/ui/skill/attack_pursue.png
30005	2	追击	普攻击杀敌人后，随机追击一名敌人，造成{p1}%的伤害；继续击杀可重复触发	75	0	res://asserts/image/ui/skill/attack_pursue.png
30005	3	追击	普攻击杀敌人后，随机追击一名敌人，造成{p1}%的伤害；继续击杀可重复触发	90	0	res://asserts/image/ui/skill/attack_pursue.png
